CODIGOCLIE,Path_archivo_datos,Nombre,CIIU,Mult. de potencias
10016608,mediciones_por_anio_limpias/perfil_carga_anual_limpio-10016608-2023.csv,MOLPACK ECUADOR ECUAMOLPACK S.A.,C1702.02,1100.0
10020880,mediciones_por_anio_limpias/perfil_carga_anual_limpio-10020880-2023.csv,CIRION TECHNOLOGIES ECUADOR S.A.,J6190.02,1140.0
10026628,mediciones_por_anio_limpias/perfil_carga_anual_limpio-10026628-2023.csv,RECIPLAST C.A.,E3811.00,660.0
10031377,mediciones_por_anio_limpias/perfil_carga_anual_limpio-10031377-2023.csv,PQA PRODUCTORES QUIMICOS ECUATORIANOS S.A.,G4669.21,660.0
10033889,mediciones_por_anio_limpias/perfil_carga_anual_limpio-10033889-2023.csv,Desconocido,Desconocido,Desconocido
10045196,mediciones_por_anio_limpias/perfil_carga_anual_limpio-10045196-2023.csv,ACESCO ECUADOR S.A.,C2410.25,660.0
10046274,mediciones_por_anio_limpias/perfil_carga_anual_limpio-10046274-2023.csv,F.V - AREA ANDINA S.A. ,G4752.06,440.0
10048266,mediciones_por_anio_limpias/perfil_carga_anual_limpio-10048266-2023.csv,Desconocido,Desconocido,Desconocido
10049877,mediciones_por_anio_limpias/perfil_carga_anual_limpio-10049877-2023.csv,TEJIDOS PINTEX SA,C1392.01,2727.27
10055028,mediciones_por_anio_limpias/perfil_carga_anual_limpio-10055028-2023.csv,COMPA├æIA ECUATORIANA DE RECICLAJE S.A. . ERC,G4669.30,660.0
10060669,mediciones_por_anio_limpias/perfil_carga_anual_limpio-10060669-2023.csv,MUEBLEFACIL CIA. LTDA.,C3100.01,220.0
10062892,mediciones_por_anio_limpias/perfil_carga_anual_limpio-10062892-2023.csv,INTELA INDUSTRIA TEXTIL LATINOAMERICANA CIA. LTDA.,C1312.01,1100.0
10069995,mediciones_por_anio_limpias/perfil_carga_anual_limpio-10069995-2023.csv,F.V. AREA ANDINA S.A. ,G4752.06,660.0
10088971,mediciones_por_anio_limpias/perfil_carga_anual_limpio-10088971-2023.csv,Desconocido,Desconocido,Desconocido
10088972,mediciones_por_anio_limpias/perfil_carga_anual_limpio-10088972-2023.csv,Desconocido,Desconocido,Desconocido
10091724,mediciones_por_anio_limpias/perfil_carga_anual_limpio-10091724-2023.csv,MADELSA SA,C3100.01,120.0
10092225,mediciones_por_anio_limpias/perfil_carga_anual_limpio-10092225-2023.csv,Desconocido,Desconocido,Desconocido
10103654,mediciones_por_anio_limpias/perfil_carga_anual_limpio-10103654-2023.csv,PLANTA INDUSTRIAL LACEC CIA. LTDA.,C2011.11,4400.0
10188848,mediciones_por_anio_limpias/perfil_carga_anual_limpio-10188848-2023.csv,INDUSTRIAL DANEC SA,C1040.11,3300.0
10203863,mediciones_por_anio_limpias/perfil_carga_anual_limpio-10203863-2023.csv,TECNANDINA SA TENSA,C2100.01,1320.0
10211049,mediciones_por_anio_limpias/perfil_carga_anual_limpio-10211049-2023.csv,Desconocido,Desconocido,Desconocido
1044341,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1044341-2023.csv,Desconocido,Desconocido,Desconocido
1093087,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1093087-2023.csv,FLOWERVILLAGE CIA. LTDA.,A0119.03,440.0
1099553,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1099553-2023.csv,Desconocido,Desconocido,Desconocido
1105013,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1105013-2023.csv,Desconocido,Desconocido,Desconocido
1105039,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1105039-2023.csv,Desconocido,Desconocido,Desconocido
1122395,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1122395-2023.csv,RAMVELPLAST CIA.LTDA.,G4610.09,1850.0
1130655,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1130655-2023.csv,Desconocido,Desconocido,Desconocido
1132611,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1132611-2023.csv,METROZONA SOCIEDAD ANÓNIMA,H5210.00,1200.0
1134959,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1134959-2023.csv,INDUPETRA S.A.,C2220.91,60.0
1140407,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1140407-2023.csv,Desconocido,Desconocido,Desconocido
1188682,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1188682-2023.csv,PLASTIFLAN CIA. LTDA.,C2220.91,440.0
12,mediciones_por_anio_limpias/perfil_carga_anual_limpio-12-2023.csv,Desconocido,Desconocido,Desconocido
1202633,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1202633-2023.csv,AVICOLA VITALOA S.A. AVITALSA,A0146.01,1100.0
1211510,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1211510-2023.csv,SANDE ECUADOR CIA. LTDA.,A0119.03,3700.0
1216458,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1216458-2023.csv,Desconocido,Desconocido,Desconocido
1217142,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1217142-2023.csv,Desconocido,Desconocido,Desconocido
1220802,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1220802-2023.csv,SOCIEDAD INDUSTRIAL GANADERA ELORDEÑO S.A.,G4630.21,1200.0
1224011,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1224011-2023.csv,INDUSTRIA PIOLERA PONTE SELVA S.A.,C1311.02,800.0
1229975,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1229975-2023.csv,FUNDICIONES DEL ECUADOR FUNDIEC S.A.,C2813.04,800.0
1234002,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1234002-2023.csv,POLIPACK CIA. LTDA.,C2220.11,1200.0
1239960,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1239960-2023.csv,Desconocido,Desconocido,Desconocido
1240866,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1240866-2023.csv,ALPINA PRODUCTOS ALIMENTICIOS ALPIECUADOR S.A.,C1050.01,660.0
1271052,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1271052-2023.csv,Desconocido,Desconocido,Desconocido
1272327,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1272327-2023.csv,VIOLETA FLOWERS AND FARMS VIOLEFLOWERS S.A.,G4620.15,600.0
1280105,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1280105-2023.csv,FLORALPACK CIA. LTDA.,C2220.11,440.0
1282968,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1282968-2023.csv,INDUSTRIAL TEXTILESTORNASOL CIA. LTDA. ,C1312.01,600.0
1285180,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1285180-2023.csv,Desconocido,Desconocido,Desconocido
1297776,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1297776-2023.csv,DELCAMPO S.A.S.,G4630.21,660.0
1297988,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1297988-2023.csv,Desconocido,Desconocido,Desconocido
1301474,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1301474-2023.csv,CONFITECA C.A.,C1073.21,800.0
1310465,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1310465-2023.csv,REYLACTEOS C.L.,C1050.01,880.0
1317420,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1317420-2023.csv,QUALA ECUADOR S A,G4711.01,660.0
1323301,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1323301-2023.csv,SUMAR-REPCOM S.A.,G4659.12,286.0
1337165,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1337165-2023.csv,WAEL ALAM ETIQUETAS INTERNACIONALES CIA. LTDA.,C1811.06,660.0
1337167,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1337167-2023.csv,TEXATLANTIS COMERCIALIZADORA TEXTIL  ATL ANTIS S.A.,G4641.11,660.0
1339936,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1339936-2023.csv,Desconocido,Desconocido,Desconocido
1339939,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1339939-2023.csv,Desconocido,Desconocido,Desconocido
1340690,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1340690-2023.csv,Desconocido,Desconocido,Desconocido
1344397,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1344397-2023.csv,FABRILACTEOS CIA. LTDA.,C1050.05,463.0
1346675,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1346675-2023.csv,MIRKPAS S.A.,G4690.00,436.36
1370369,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1370369-2023.csv,DEL VALLE METALCAST FOUNDRY S.A.,C2431.01,1100.0
1372378,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1372378-2023.csv,ESTRUCTURAS DE ACERO ESACERO S.A.,F4210.11,660.0
1376595,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1376595-2023.csv,Desconocido,Desconocido,Desconocido
1379027,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1379027-2023.csv,ACABADOS DE FANTASÌA PINTO AFAPIN CIA. LTDA.,C1313.01,330.0
1385127,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1385127-2023.csv,ACABADOS TEXTILES DEL ECUADOR S.A. ACATEXTIL,C1313.04,1100.0
1415820,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1415820-2023.csv,TEXTICOM CIA. LTDA.,C2220.91,1200.0
1433234,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1433234-2023.csv,Desconocido,Desconocido,Desconocido
1457182,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1457182-2023.csv,Desconocido,Desconocido,Desconocido
1458743,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1458743-2023.csv,GRAFITEXT CIA. LTDA. ,C1812.01,1600.0
1479849,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1479849-2023.csv,HOLCIM ECUADOR S.A.,C2394.01,1320.0
1497952,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1497952-2023.csv,QUIFATEX S.A.,C2100.01,1000.0
1507245,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1507245-2023.csv,ACERIA DEL ECUADOR CA ADELCA.,C2410.25,72000.0
1509608,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1509608-2023.csv,AVICOLA VITALOA S.A. AVITALSA,A0146.01,660.0
1512125,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1512125-2023.csv,Desconocido,Desconocido,Desconocido
1514631,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1514631-2023.csv,AVIPLAST S.A.,G4669.21,440.0
1526607,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1526607-2023.csv,Desconocido,Desconocido,Desconocido
1528782,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1528782-2023.csv,ZAIMELLA DEL ECUADOR S.A.,C1709.11,2640.0
1535477,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1535477-2023.csv,MANUFACTURAS ARMADURIAS Y REPUESTOS ECUATORIANOS S.A. MARESA ,G4510.01,1100.0
1538883,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1538883-2023.csv,Desconocido,Desconocido,Desconocido
1542863,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1542863-2023.csv,Desconocido,Desconocido,Desconocido
1548499,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1548499-2023.csv,Desconocido,Desconocido,Desconocido
1560483,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1560483-2023.csv,TASKI S.A.,G4649.96,160.0
1564746,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1564746-2023.csv,INDUSTRIA PIOLERA PONTE SELVA S.A.,C1311.02,600.0
1565547,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1565547-2023.csv,ENVAPRESS CIA. LTDA.,N8292.01,660.0
